"SubscriptionName","ResourceGroup","Name","Type","TagsFaltando","TagsPresentes"
"PlanApp-prd-sub001","networkwatcherrg","NetworkWatcher_swedencentral","microsoft.network/networkwatchers","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","networkwatcherrg","NetworkWatcher_westeurope","microsoft.network/networkwatchers","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoes-0dd08466b7-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoesp-b9d0e31f28-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050p-0be3f99616-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","congressod-f20d340a68-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envisionpr-7e69805656-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","lab2050prd-2a701e99ee-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-we-prd-lideranc-rg001","lideranc-prd-mysql.private.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd-5687f10476-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","planappprd-ae99cfd7c7-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","portalplan-1ada35a364-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-we-prd-data-rg001","privatelink.database.windows.net","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","privatelink.file.core.windows.net","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","privatelink.postgres.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","privatelink.postgres.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","privatelink.redis.cache.windows.net","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg003","privatelink.redis.cache.windows.net","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","ptsustenta-fcfca31c83-privatelink.mysql.database.azure.com","microsoft.network/privatednszones","departamento, ambiente, projeto, centrocusto","subscription, wordpressdeploymentid, appprofile"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoes-0dd08466b7-privatelink.mysql.database.azure.com-vnetlink","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","10milhoesp-b9d0e31f28-privatelink.mysql.database.azure.com-vnetlink","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-sc-prd-ptsust-rg001","12a27ce9-1fdd-5f0a-bf84-2bae758df3c9","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg004","68bf2cef-6e62-5cdb-9cc7-957d6674f93c","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-we-prd-avd-rg001","7lfzdpfglwulg","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","clube2050p-0be3f99616-privatelink.mysql.database.azure.com-vnetlink","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg001","congressod-f20d340a68-privatelink.mysql.database.azure.com-vnetlink","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","environment, owner, subscription"
"PlanApp-prd-sub001","pla-ne-prd-sites-rg002","envisionpr-7e69805656-privatelink.mysql.database.azure.com-vnetlink","microsoft.network/privatednszones/virtualnetworklinks","departamento, ambiente, projeto, centrocusto","environment, owner, project, subscription"
